Timestamp,Username,VideoID,Comment,Date
2025-02-01T19:38:08Z,@alpasto1268,gszO0mjOwFs,is this option only available for the older driver because this is my third day and on the app I can't see the navigation system that will allow me to select my way home back,2025-02-01T19:38:08Z
2024-12-15T10:55:49Z,@KanjanaPDavidson,gszO0mjOwFs,"I don’t have magnify icon 
I use iPhone 14",2024-12-15T10:56:03Z
2024-11-21T02:28:05Z,@kevyngarnett2661,gszO0mjOwFs,It doesn’t work the way it should I’ve been pulled further from destination multiple times,2024-11-21T02:28:05Z
2024-10-12T18:04:08Z,@donsmith5649,gszO0mjOwFs,How do I filter out long distance trips? I keep getting requests for hour long driving trips and I sometimes don’t have enough charge in my EV so I have to decline the trip and my approval rating goes down.,2024-10-12T18:04:08Z
2024-09-17T05:21:02Z,@LuchoAcademy,gszO0mjOwFs,Falso! Never Works! Don’t say Lies!,2024-09-17T05:21:02Z
2024-09-10T12:07:21Z,@MardomTV,gszO0mjOwFs,"UBER's Destination Filter is BULL SHIT !!  never use it !! it drives you away !!! make sure you use the one on LYFT  and adjust drop - off area ""  Small Medium Large ""    hell with UBER !  Viva Lyft :)",2024-09-10T12:09:55Z
2024-08-23T16:56:57Z,@TrueSankofa7,gszO0mjOwFs,the destination filter seems to be broken. I stay in Phoenix and it has taken me out to Mesa and Litchfield Park in the past when I tried it so I don't bother anymore. As a filter it should eliminate other destinations and filter for only requests to my destination,2024-08-23T16:56:57Z
2024-08-09T15:25:13Z,@unishema,gszO0mjOwFs,"Haven't looked at Uber driving app since '21, tyty for short tutorial!",2024-08-09T15:25:13Z
2024-04-25T04:38:17Z,@bibekgurung2149,-BGlWM7YMMI,Hi i dont have any destination filter button so is there any defect on my app ?,2024-04-25T04:38:17Z
2024-05-14T07:01:30Z,@LostNmuzic,-BGlWM7YMMI,Same...,2024-05-14T07:01:30Z
2023-07-26T04:51:00Z,@woofster53,-BGlWM7YMMI,"Yeah, whatever you do, don't explain HOW to set the destination filter.",2023-07-26T04:51:00Z
2023-02-20T14:39:24Z,@bother1844,-BGlWM7YMMI,You did not explain how to set up the app. All you are saying is what the app is for and how it works!,2023-02-20T14:39:24Z
2023-02-20T07:51:51Z,@gaylandtubbs798,-BGlWM7YMMI,Destination mode is trash in Houston,2023-02-20T07:51:51Z
2023-01-23T13:11:21Z,@mjohnsimmons,-BGlWM7YMMI,Really we just need how to use it not a bunch of BS,2023-01-23T13:11:21Z
2023-01-23T13:06:44Z,@mjohnsimmons,-BGlWM7YMMI,Really you should show how to use,2023-01-23T13:06:44Z
2022-05-05T05:04:09Z,@danplunkett2594,-BGlWM7YMMI,"I always use my destination button to get back home at the end of the day but if I have to go offline to use the restroom it just goes away and I have to use my second one to continue going towards home. Tonight it got me within 10 miles from my house and it just went off, I didn't realize it, excepted my next ride and now I was going the opposite way. It's been very frustrating, what am I doing wrong??",2022-05-05T05:04:09Z
2024-08-28T03:46:41Z,@Cassie4486,-BGlWM7YMMI,"If you are stopping to grab some food, restroom, etc, put it on pause. You will not lose the destination.",2024-08-28T03:46:41Z
2022-04-18T21:58:12Z,@adil6301,-BGlWM7YMMI,Useless,2022-04-18T21:58:12Z
2022-03-06T13:44:31Z,@red32303,-BGlWM7YMMI,Surge doesn’t apply when destination filter is on. This guy doesn’t know what he is talking about,2022-03-06T13:44:31Z
2022-03-06T13:42:36Z,@red32303,-BGlWM7YMMI,The destination filter is useless unless you put in a time constraint,2022-03-06T13:42:36Z
2022-01-28T01:56:26Z,@clamchoder1386,-BGlWM7YMMI,I need to take it off no one explains how,2022-01-28T01:56:26Z
2022-03-06T13:49:24Z,@red32303,-BGlWM7YMMI,You can turn it off the same way you turned it on. You can also go offline momentarily,2022-03-06T13:49:24Z
2021-10-22T01:14:12Z,@margiecallahan3009,-BGlWM7YMMI,Great. Now where the heck is the destination filter?,2021-10-22T01:14:12Z
2022-03-31T11:49:59Z,@chrisjenkins203,-BGlWM7YMMI,"Ikr a complete waste of time clicking on this video. It’s located in the upper right hand corner of the app, when you first open the Uber driver app and it looks like a little magnifying glass.  Hope that can help…unlike this video…",2022-03-31T11:50:15Z
2024-08-28T03:47:17Z,@Cassie4486,-BGlWM7YMMI,"Use the search, upper right corner.",2024-08-28T03:47:17Z
2021-08-15T20:47:27Z,@naj2698,-BGlWM7YMMI,Got a question for you guys. Has any one tried destination mode with a set time when leaving? I’m thinking of using this at times when I want to do no more than 3 hours. Took a ride recently that took me from Pasadena to Lancaster and I ended up driving about 30 miles back with no ride and working longer than I would’ve like to. Wondering if setting a time for arrival back home can 1. Give you good enough amount of rides 2. Not take you very far. I’m assuming it would take you up to 30 miles away and only start taking into consideration the destination route when the time comes. True or false?,2021-08-15T20:48:03Z
2021-06-03T19:01:58Z,@sammq4499,-BGlWM7YMMI,U didn't show how to do it!,2021-06-03T19:01:58Z
2021-04-10T21:35:53Z,@heliosa1,-BGlWM7YMMI,Thank you very much,2021-04-10T21:35:53Z
2021-04-10T21:34:46Z,@heliosa1,-BGlWM7YMMI,"Why there is not destination mode for Uber eats  I need a logic answer if you know if not  , is ok",2021-04-10T21:34:46Z
2020-12-17T13:56:35Z,@charlesnicolas1579,-BGlWM7YMMI,I make more money per ride through the help of *BIANCA_HACKS ON IG*,2020-12-17T13:56:35Z
2020-12-17T13:55:57Z,@charlesnicolas1579,-BGlWM7YMMI,Shout out to *BIANCA_HACKS ON IG*,2020-12-17T13:55:57Z
